a0, a1, a2, a3, a4, a5, b0, b1, b2, b3, b4, b5, Time, jerkCost, accelCost, VelocityCost, safetyDistanceCost, AccMin, AccMax, VelMin, VelMax, KappaMin, KappaMax, AccCost, VelCost, KappaCost, SaferyDistCost, LaneOffsetCost
2079.4, 19.4386, 0.571122, 0.00959119, -0.0261946, 0, -3.156, -2.13647, -0.791786, 0.364704, -0.0291517, -0.00122828, 2, 0, 0, 0, 0, -4.78996, 1.02356, 19.6719, 20.8799, 5.66135e-11, 1.29924e-05, 0.501533, 1.68752, 0, 4.9852, 0
2083.71, 19.6902, 0.569846, -0.465701, 0.142666, 0, -3.66053, -2.43316, -0.559678, 0.380714, -0.0522797, 0.00157807, 0.8, 0, 0, 0, 0, -1.90227, 0.374847, 19.9211, 20.1082, 4.16668e-07, 7.54653e-06, 0.127283, 2.94436, 0, 7.43694, 0
2087.66, 19.8668, 0.324665, 1.16475, -4.26466, 0, -4.16658, -2.61301, -0.343671, 0.365222, -0.0639108, 0.0032757, 0.2, 0, 0, 0, 0, -1.04346, -0.0104173, 20.0818, 20.1283, 2.63703e-06, 3.78106e-06, 0.0544463, 1.0006, 0, 0, 0
2092.45, 20, 2.22045e-16, -1.4803e-15, 2.77556e-15, 0, -4.80866, -2.71834, -0.102346, 0.324052, -0.0694505, 0.00450152, 0.2, 0, 0, 0, 0, -1.54511, -1.32871, 20.1078, 20.1185, 7.44742e-07, 1.33657e-06, 0.207642, 0.980191, 0, 0, 0
2097.25, 20, 9.86076e-32, -6.57384e-31, 1.2326e-30, 0, -5.46271, -2.71523, 0.107592, 0.267629, -0.068022, 0.00501715, 0.2, 0, 0, 0, 0, -2.10136, -1.86389, 20.0711, 20.0881, 8.39955e-08, 2.55161e-07, 0.394491, 1.06329, 0, 0.1, 0
2102.05, 20, 4.37906e-47, -2.91937e-46, 5.47382e-46, 0, -6.10469, -2.62102, 0.27747, 0.2052, -0.0620094, 0.00502036, 0.2, 0, 0, 0, 0, -2.69845, -2.44546, 20.0223, 20.0438, 1.91595e-09, 9.18843e-09, 0.663096, 1.18418, 0, 0.3, 0
2107.25, 20, 1.94469e-62, 6.25, -7.8125, 0, -6.76407, -2.43937, 0.413257, 0.138267, -0.052478, 0.00463348, 0.4, 0, 0, 0, 0, -4.36762, 0.217876, 20.1392, 20.8932, 6.55759e-09, 3.7292e-08, 0.513251, 0.32077, 0, 1.7, 0
2112.53, 20.7182, 1.70625, -4.33125, 3.71875, 0, -7.36817, -2.20002, 0.500635, 0.0773685, -0.0415725, 0.00400297, 0.2, 0, 0, 0, 0, -4.59684, -2.93268, 20.8504, 20.8753, 7.86036e-10, 1.29686e-08, 1.48658, 0.00538568, 0, 2.10003, 0
2117.13, 21, -3.33067e-16, 9.10383e-14, -2.26208e-13, 0, -7.82721, -1.97023, 0.540052, 0.0333605, -0.0323553, 0.00338395, 0.2, 0, 0, 0, 0, -5.457, -5.06307, 20.8094, 20.8393, 8.51601e-10, 2.77108e-09, 2.77068, 0.0144758, 0, 2.30026, 0
2121.33, 21, 1.07538e-26, -25, 62.5, 0, -8.19944, -1.75121, 0.552574, -1.25557e-06, -0.0244406, 0.00280272, 0.2, 0, 0, 0, 0, -13.0382, -5.67266, 19.7685, 20.2882, 2.05372e-09, 8.5398e-07, 1010.11, 0.292081, 0, 1.4, 0
2125.83, 20, -3.55271e-15, 2.90138e-13, -7.10543e-13, 0, -8.55802, -1.50909, 0.545774, -0.0296701, -0.0164605, 0.00217262, 0.2, 0, 0, 0, 0, -6.44389, -6.09307, 19.7088, 19.7356, 3.37106e-08, 9.20754e-08, 3.93246, 0.659254, 0, 1.7, 0
2130.23, 20, 0, -8.88178e-14, 2.22045e-13, 0, -8.86395, -1.27393, 0.521643, -0.0519529, -0.00951651, 0.00158653, 0.2, 0, 0, 0, 0, -7.21299, -6.86406, 19.6523, 19.6776, 2.13424e-07, 3.54884e-07, 4.95713, 0.778011, 0, 1.9, 0
2134.23, 20, -1.06212e-26, 7.08082e-26, -1.32765e-25, 0, -9.09831, -1.0718, 0.488314, -0.0661381, -0.00423077, 0.00111172, 0.2, 0, 0, 0, 0, -7.90453, -7.55994, 19.6039, 19.6277, 5.46423e-07, 7.75373e-07, 5.98171, 0.887765, 0, 2, 0
2139.03, 20, 1.72192e-41, -1.14794e-40, 2.15239e-40, 0, -9.32834, -0.849052, 0.439386, -0.0770296, 0.000960098, 0.000613749, 0.2, 0, 0, 0, 0, -8.71825, -8.38172, 19.5493, 19.5716, 1.17965e-06, 1.51897e-06, 7.31305, 1.02006, 0, 2.40007, 0
2143.03, 20, -6.87196e-54, 3.27236e-54, -4.38263e-55, 0, -9.48119, -0.682506, 0.393448, -0.0811481, 0.00420896, 0.00027542, 2.8, 0, 0, 0, 0, -9.70129, 4.29671, 19.4819, 20.2331, 2.17564e-09, 2.93644e-06, 1002.88, 0.491642, 0, 2.50018, 0
2147.43, 20, -4.83947e-54, 2.30451e-54, -3.0864e-55, 0, -9.61315, -0.520989, 0.341142, 0.504069, -0.212868, 0.0219458, 2.8, 0, 0, 0, 0, -9.7707, 3.28297, 19.4817, 20.2261, 3.07097e-10, 1.19448e-05, 1002.09, 0.377215, 0, 1.2, 0
2151.43, 20, -3.53084e-54, 1.68135e-54, -2.25181e-55, 0, -9.7, -0.33068, 0.594251, 0.256443, -0.14671, 0.0162697, 2.8, 0, 0, 0, 0, -8.7805, 3.69482, 19.526, 20.2382, 7.37679e-09, 9.53568e-06, 1.53808, 0.296092, 0, 1.4, 0
2155.83, 20, -2.48654e-54, 1.38141e-54, -2.15846e-55, 0, -9.7416, -0.0380327, 0.722631, 0.0569136, -0.088495, 0.011078, 2.4, 0, 0, 0, 0, -7.06945, 3.34562, 19.6146, 20.2371, 1.34071e-08, 7.49383e-06, 1.07152, 0.259628, 0, 1.5, 0
2160.23, 20, -1.63749e-54, 1.21296e-54, -2.52699e-55, 0, -9.71458, 0.284549, 0.735674, -0.078058, -0.0441438, 0.00693566, 1.8, 0, 0, 0, 0, -5.33135, 2.73812, 19.7107, 20.2093, 7.41374e-10, 6.31935e-06, 0.671707, 0.23854, 0, 1.7, 0
