minAcc, maxAcc, minKappa, maxKappa
-0.0657534, 0.146632, -0.00231629, -0.0010848
-0.0656993, 0.146614, -0.00205355, -0.00109532
-0.0656305, 0.146474, -0.00179173, -0.00108352
-0.0654717, 0.146235, -0.00150739, -0.00107427
0.145909, 0.146003, -0.00124798, -0.00113046
-0.0654898, -0.0654447, -0.00114799, -0.00109532
-0.0655968, -0.0655529, -0.00127468, -0.00122184
-0.0656922, -0.0656547, -0.00140175, -0.00134876
-0.0657628, -0.0657373, -0.00152916, -0.00147603
-0.564072, -0.0601401, -0.0019121, 0.00190002
-0.564734, 0.00314785, -0.00189723, 0.00184475
-0.340705, 0.598702, -0.00190159, -0.00095889
0.49696, 0.589961, -0.00173098, -0.000904189
-0.956358, 0.554993, -0.00106887, 0.00184383
-1.78131, -0.374437, -0.000412189, 0.000910031
-1.77721, -0.523422, 0.000232771, 0.00101319
-1.04011, 0.720269, -0.000645498, 0.00185163
-0.513949, 0.672909, -0.000775987, 0.00187319
-0.488801, 0.65323, -0.000811842, 0.00187674
-0.127448, 0.643295, -0.000956259, 0.001577
0.0478633, 0.666396, -0.000859579, 0.0012754
0.0750098, 0.709725, -0.000762013, 0.000972774
0.0656651, 0.700831, -0.000786526, 0.000666635
0.128208, 0.785849, -0.000676348, 0.000382683
-0.0775402, 0.905923, -0.000639956, 6.9424e-05
0.166313, 0.896565, -0.000615061, -0.000275524
0.130884, 0.707801, -0.000627354, -0.000442179
0.0398958, 0.252072, -0.000652157, -0.000590208
-0.0775045, -0.0774753, -0.0008011, -0.000739039
-0.0774206, -0.0773706, -0.000950114, -0.000888016
-0.0772834, -0.0772075, -0.00109915, -0.00103706
-0.0770998, -0.0769948, -0.00123568, -0.00117364
-0.109197, -0.109068, -0.00142279, -0.00133472
-0.109558, -0.1094, -0.00163503, -0.00154644
-0.109958, -0.10979, -0.00184855, -0.00175942
-0.568067, 0.0339269, -0.00276559, 0.000615967
-0.52419, 0.0446235, -0.00276585, 0.000798283
-0.4945, 0.0553731, -0.0027838, 0.000997597
-0.464422, 0.0649111, -0.00278764, 0.00119593
-0.467448, 0.0732079, -0.00274321, 0.001393
-0.105293, 0.887953, -0.00247379, -0.000692507
0.582461, 0.887955, -0.00202759, -0.000914728
-0.703004, 0.899734, -0.00149289, 0.00129881
-0.91611, 0.402643, -0.00100338, 0.000952996
-0.898817, -0.163595, -0.000517158, 0.000971011
-1.1254, 0.108026, -3.61258e-05, 0.000897831
-1.54225, -0.939017, 0.000375016, 0.000646914
-1.41846, -0.722063, 0.000574885, 0.000664614
0.108008, 0.108029, 0.00080735, 0.000896445
0.108051, 0.108059, 0.00102104, 0.00110993
0.108037, 0.108054, 0.00123421, 0.00132286
0.107945, 0.107997, 0.00142909, 0.00151746
-0.304763, 0.107818, -0.000752259, 0.00178248
-0.250689, 0.579307, -0.000957369, 0.00178174
-0.256715, 0.55783, -0.00117001, 0.00177164
-0.108235, 0.553002, -0.00121351, 0.00176403
-0.191916, 0.537927, -0.0011115, 0.00175539
-0.19599, 0.533461, -0.00116445, 0.00174838
-0.140189, 0.530416, -0.00120963, 0.00174164
-2.51563, 0.527653, 0.00101914, 0.00173405
-2.46596, -1.37443, 0.000917599, 0.00116988
-0.304765, -0.304754, 0.000363547, 0.000615987
-0.304716, -0.304674, -0.000245386, 8.86098e-06
-0.304608, 3.40627, -0.00107847, -0.000551462
-1.96475, 3.2504, -0.00117447, 0.00109506
-1.7764, -0.390428, -0.00193703, -0.000534984
-1.74969, -0.602136, -0.00166408, -0.0014274
-1.28608, -0.602889, -0.00166477, -0.00155683
-3.39242, 0.38705, -0.00130159, -0.000774545
-3.35515, -1.88671, -0.00104753, -0.000585774
-0.559022, 0.865001, -0.00119843, 0.00145089
-0.461031, 0.523658, -0.00074363, 0.00150056
-0.719733, 0.735147, -0.000507388, 0.00129855
0.279907, 1.00282, 0.000318576, 0.000990666
0.0773689, 0.764234, 0.000243843, 0.000581972
-0.695565, 6.66841, -0.000178739, 0.000628554
-8.17287, -0.822563, -0.00226315, -0.000897293
-0.822479, 0.609725, -0.00205728, 0.00243886
0.483277, 0.604698, -0.00118716, 0.00212959
0.520726, 0.601653, -0.000359663, 0.00195616
0.554683, 0.584815, 0.000448407, 0.0012938
0.577758, 0.586532, 0.00107356, 0.00134264
0.595609, 0.602043, 0.00166021, 0.00191574
-4.00035, 0.609271, 0.00226956, 0.00264619
-3.19942, 1.28739, -0.000275909, 0.00270334
0.283897, 1.15382, -0.00042754, 0.00168083
-0.335007, 0.864001, -0.000724353, 1.53252e-05
-1.27424, 5.95273, -0.0022732, -0.00160126
-1.98434, 0.577489, -0.00746072, 0.00284352
-1.94582, 0.628812, -0.00762706, 0.00277549
-1.89878, 0.703761, -0.00753073, 0.00271183
-1.22848, 0.611927, -0.00646118, 0.00280556
-1.19602, 0.530654, -0.0051464, 0.00280153
0.458011, 1.13476, -0.00349222, 0.00121723
0.524518, 0.996601, -0.00214228, 0.000769599
0.558594, 0.688331, -0.000839096, -0.000257747
1.13412, 1.13453, 0.000541875, 0.00110868
-6.68992, 1.1363, 0.0017827, 0.00289553
-7.88249, 3.73764, 0.000245684, 0.00282278
-1.02765, 1.90483, -0.00183235, 0.00225913
-0.32609, 1.94342, -0.00174787, 0.00167865
0.162484, 1.92463, -0.00169528, 0.00119274
0.519896, 1.90238, -0.00175048, 0.000855722
0.752938, 1.87727, -0.00180658, 0.000923366
0.683768, 2.34227, -0.00179532, -2.43986e-05
0.684495, 1.99714, -0.00169752, 0.000802837
0.684613, 1.95948, -0.00175325, 0.000870823
1.17663, 1.70632, -0.00101837, 3.69817e-05
1.07016, 1.45557, -0.000243646, 0.000106902
-3.15776, 0.684738, 0.000941592, 0.00194955
-2.83563, -0.662493, 0.00181805, 0.00214268
-7.13354, 0.621928, 0.00265528, 0.00296972
-2.96052, 0.558822, 0.00333158, 0.00416143
-2.32373, 1.80677, 0.000263125, 0.00408484
-1.53362, 1.86874, 0.000231524, 0.00378034
-0.587958, 1.74653, 0.000259115, 0.0032867
-0.0378832, 1.61493, 0.000223615, 0.0028279
-0.0776502, 1.46479, 0.00025458, 0.0023264
