Acc, Kappa
-0.587958, 0.0032867
0.0092026, 0.0028279
0.433152, 0.0023264
0.675038, 0.00181603
0.782703, 0.00129427
0.794753, 0.000800838
0.746034, 0.000252701
1.15442, 0.000351266
1.08631, 0.000471505
1.01303, 0.000592942
0.908434, 0.000715495
0.805892, 0.000838486
0.43247, 0.000923225
0.402058, 0.000642824
0.400732, 0.000383214
0.42576, 0.000119961
-0.235981, -0.000145776
-0.235913, -0.000413434
-0.235846, -0.00068243
-0.235736, -0.000977397
0.471432, -0.000924922
0.471202, -0.00038624
0.471218, 0.000146742
0.471582, 0.00076977
0.472058, 0.00129149
-3.22372, 0.00184804
0.426284, 0.00233737
0.38182, 0.00280426
-3.47954, 0.00530276
-0.0105765, 0.00643191
0.166508, 0.00673466
0.430669, 0.006437
0.611411, 0.00577728
0.701731, 0.00496589
0.898592, 0.00411254
0.985359, 0.00341363
0.869404, 0.00272472
0.846291, 0.00197445
1.11981, 0.00141439
1.31548, 0.000958472
1.03512, 6.15004e-05
0.990504, -0.000911277
2.29704, -0.00186639
-0.553519, -0.00257776
0.225702, -0.00139663
0.000334636, 0.000456655
-0.202149, 0.00153714
-1.20669, 0.00225905
0.335257, 0.00236492
1.13076, 0.00245116
0.873478, 0.000651795
1.12806, -0.00126742
-0.452261, -0.00301794
0.463991, -0.00437578
0.390648, -0.0031592
0.325204, -0.00177261
0.275253, -0.000326064
0.244149, 0.000936549
-0.210991, 0.00111003
-0.181329, 0.000281645
-0.162928, -0.000413225
-0.148697, -0.00122074
-0.141098, -0.0019753
0.178167, -0.00111063
0.175115, 3.03821e-05
0.174318, 0.00115312
-0.235356, 0.00196757
-0.235261, 0.000653162
-0.236279, -0.000568799
-0.238015, -0.00191952
-0.239373, -0.00317216
0.376996, -0.0014181
0.379651, 0.000609233
0.383445, 0.00279956
0.386204, 0.00479183
-0.0710144, 0.00701533
-0.0727145, 0.0065664
-0.0709392, 0.00619908
-0.0687569, 0.00584124
-0.0663277, 0.00549466
-0.0637863, 0.00516045
-0.0734429, 0.00480034
-0.0741167, 0.00442039
-0.0743516, 0.00403764
-0.0742736, 0.00365398
-0.073998, 0.00327067
0.0112793, 0.00312079
0.0112811, 0.00317918
0.011254, 0.00323749
0.0111887, 0.00330084
0.0110937, 0.00335849
0.0109626, 0.00341555
0.0244506, 0.00355796
0.0252024, 0.00368633
0.0260646, 0.00384287
0.026818, 0.00399179
0.0275116, 0.00414463
-0.104556, 0.00428529
-0.106041, 0.00374243
-0.106775, 0.00319279
-0.106966, 0.00268984
-0.106817, 0.00213506
-0.106438, 0.00158009
-0.105942, 0.00102576
-0.10541, 0.00047246
0.187627, 0.00105357
0.188529, 0.00203569
0.190668, 0.00311097
0.193167, 0.00410388
0.195285, 0.005013
0.196617, 0.00610834
0.19546, 0.00710784
-0.230617, 0.00725801
-0.232035, 0.00597101
-0.230471, 0.00478533
-0.227782, 0.00360378
-0.22495, 0.00232278
-0.223309, 0.00115353
0.203686, 0.000846433
0.204766, 0.00191355
0.206443, 0.0029827
0.208298, 0.00415293
0.209125, 0.00532442
0.207744, 0.00639157
0.202264, 0.00753243
-0.0128042, 0.00628997
0.0379369, 0.00531499
0.104766, 0.00497818
0.15897, 0.00511856
0.194637, 0.00546974
-0.598598, 0.00584906
-0.314865, 0.00636552
-0.2002, 0.00673006
-0.055202, 0.00676854
0.0355652, 0.00670916
-0.0472215, 0.00660548
-0.0822282, 0.00639722
-0.114471, 0.00608796
-0.138483, 0.00573888
-0.159221, 0.00530138
-0.0501003, 0.00499685
-0.0597449, 0.00475169
-0.0683767, 0.00445671
0.0704496, 0.00420087
0.198166, 0.00390673
0.289205, 0.0036347
0.410557, 0.00328553
0.27741, 0.00288224
0.273475, 0.00222288
0.236792, 0.00162578
0.226882, 0.00103719
0.14746, 0.000456603
0.0104274, -0.000118082
0.0837323, -0.000589509
-0.0421804, -0.000702347
-0.0420659, -0.000797804
-0.0419635, -0.000886593
-0.0418783, -0.000962452
-0.0417889, -0.00104169
-0.0417066, -0.00111059
0.3774, -0.000814053
-0.656657, -0.000109421
-0.549458, 0.000539833
-0.469728, 0.00123516
-0.295815, 0.00186283
-0.287933, 0.00253907
0.0542565, 0.00320254
