s, d, v, x, y,t
278.557,5.88656,49.458,1054.18,1163.33,16.1487
277.23,5.85591,49.476,1055.4,1163.87,16.2047
275.904,5.82526,49.476,1056.61,1164.41,16.2607
276.932,5.79467,49.458,1057.82,1164.95,16.3167
277.815,5.77611,49.4261,1058.63,1165.31,16.3687
279.14,5.75003,49.3695,1059.84,1165.84,16.4248
280.466,5.72979,49.3945,1061.06,1166.37,16.4807
281.348,5.71847,49.3511,1061.87,1166.72,16.5327
282.672,5.70641,49.3599,1063.08,1167.25,16.5808
283.994,5.69893,49.2694,1064.3,1167.76,16.6369
284.875,5.69753,49.2324,1065.11,1168.1,16.6888
286.197,5.70089,49.2441,1066.33,1168.61,16.7447
287.517,5.71189,49.2624,1067.55,1169.11,16.8007
288.397,5.72319,49.1753,1068.37,1169.44,16.8527
289.715,5.74551,49.0943,1069.6,1169.93,16.9048
291.034,5.77644,49.1857,1070.82,1170.41,16.9607
291.911,5.79953,49.0317,1071.64,1170.72,17.0127
293.227,5.84173,49.0167,1072.87,1171.19,17.0607
294.104,5.87561,49.0502,1073.69,1171.5,17.1127
295.418,5.93193,48.9745,1074.93,1171.95,17.1608
307.825,6.85271,49.0395,1075.75,1172.26,17.2129
306.518,6.71951,49.0267,1076.99,1172.7,17.2607
305.646,6.63645,48.9539,1077.82,1172.99,17.3128
304.339,6.51938,48.9625,1079.06,1173.42,17.3687
303.031,6.41188,48.9391,1080.3,1173.84,17.4207
302.938,6.34534,48.8831,1081.13,1174.12,17.4728
304.245,6.25622,48.9519,1082.38,1174.52,17.5247
305.553,6.17851,48.8169,1083.62,1174.91,17.5768
306.425,6.13258,48.8573,1084.46,1175.16,17.6287
307.734,6.07587,48.9243,1085.72,1175.53,17.6847
309.043,6.03173,48.7968,1086.98,1175.89,17.7367
309.917,6.0088,48.8435,1087.82,1176.13,17.7888
311.226,5.98197,48.863,1089.08,1176.47,17.8407
312.1,5.96949,48.9125,1089.93,1176.69,17.8968
313.41,5.95856,48.8236,1091.2,1177.02,17.9447
314.285,5.95653,48.8892,1092.05,1177.23,17.9927
315.595,5.961,48.917,1093.32,1177.54,18.0447
316.907,5.97496,48.944,1094.59,1177.85,18.1007
317.781,5.98943,48.8946,1095.45,1178.04,18.1487
319.094,6.01905,48.9288,1096.73,1178.33,18.2008
331.446,6.70154,49.0089,1097.58,1178.52,18.2527
330.136,6.59537,49.0436,1098.87,1178.79,18.3007
329.263,6.52815,48.8919,1099.72,1178.97,18.3528
327.952,6.4323,48.9522,1101.01,1179.24,18.4007
327.077,6.37346,49.0164,1101.87,1179.41,18.4528
326.381,6.29277,49.0613,1103.16,1179.66,18.5047
327.695,6.21828,49.0343,1104.46,1179.9,18.5607
328.57,6.1736,48.9924,1105.32,1180.06,18.6128
329.885,6.11147,49.0592,1106.61,1180.29,18.6607
330.762,6.07506,49.1295,1107.48,1180.44,18.7127
332.077,6.0271,49.0732,1108.78,1180.65,18.7647
332.956,5.99907,49.1635,1109.64,1180.79,18.8127
334.272,5.96228,49.1427,1110.95,1181,18.8608
335.15,5.9421,49.0958,1111.81,1181.13,18.9087
336.469,5.91879,49.1692,1113.12,1181.33,18.9607
337.348,5.90687,49.1517,1113.99,1181.45,19.0087
338.668,5.89372,49.2296,1115.3,1181.63,19.0607
339.548,5.88799,49.2013,1116.17,1181.75,19.1087
340.867,5.8849,49.1706,1117.48,1181.93,19.1647
341.748,5.88536,49.1684,1118.35,1182.04,19.2127
343.069,5.8915,49.2495,1119.66,1182.2,19.2647
343.949,5.89789,49.2379,1120.53,1182.31,19.3127
345.271,5.91433,49.3064,1121.85,1182.46,19.3607
356.294,6.1988,49.3048,1122.72,1182.56,19.4127
354.973,6.15266,49.2806,1124.04,1182.71,19.4607
354.091,6.12529,49.2688,1124.91,1182.8,19.5127
352.768,6.08625,49.3659,1126.23,1182.94,19.5607
351.887,6.06182,49.2596,1127.11,1183.03,19.6088
352.207,6.02892,49.3422,1128.42,1183.17,19.6607
353.089,6.00858,49.3315,1129.3,1183.25,19.7168
354.413,5.98173,49.4297,1130.62,1183.38,19.7687
355.736,5.9578,49.3107,1131.94,1183.51,19.8207
356.62,5.94467,49.4082,1132.82,1183.59,19.8687
357.944,5.92678,49.3996,1134.14,1183.7,19.9207
358.826,5.91649,49.2908,1135.02,1183.78,19.9767
360.151,5.90173,49.4025,1136.34,1183.89,20.0247
361.476,5.89097,49.3933,1137.66,1184.01,20.0767
362.359,5.88575,49.3842,1138.54,1184.08,20.1247
363.684,5.87897,49.3842,1139.86,1184.18,20.1767
364.567,5.87582,49.3754,1140.74,1184.26,20.2247
365.45,5.87469,49.4758,1141.62,1184.32,20.2728
366.775,5.87496,49.3439,1142.94,1184.42,20.3207
367.66,5.87684,49.4675,1143.82,1184.49,20.3688
368.985,5.88023,49.4448,1145.14,1184.59,20.4208
369.868,5.88507,49.4507,1146.02,1184.65,20.4727
371.193,5.8943,49.4295,1147.35,1184.74,20.5247
372.076,5.90219,49.3269,1148.23,1184.8,20.5728
373.402,5.91552,49.4358,1149.55,1184.88,20.6207
374.286,5.92542,49.4358,1150.43,1184.94,20.6728
375.612,5.94082,49.4279,1151.76,1185.03,20.7207
376.495,5.95266,49.4151,1152.64,1185.08,20.7727
377.821,5.97013,49.4143,1153.96,1185.16,20.8207
390.126,6.14534,49.4211,1154.84,1185.22,20.8727
388.801,6.12782,49.4211,1156.16,1185.3,20.9207
387.917,6.11634,49.4146,1157.05,1185.35,20.9727
386.592,6.10188,49.4075,1158.37,1185.43,21.0207
385.709,6.09345,49.3946,1159.25,1185.48,21.0727
384.622,6.08396,49.5113,1160.58,1185.55,21.1207
385.506,6.07765,49.5113,1161.46,1185.6,21.1688
386.832,6.07116,49.5047,1162.78,1185.67,21.2207
387.716,6.0668,49.5047,1163.67,1185.71,21.2727
389.042,6.06128,49.3765,1164.99,1185.78,21.3208
389.926,6.05888,49.4999,1165.87,1185.83,21.3728
391.252,6.05543,49.3901,1167.2,1185.89,21.4247
392.577,6.05186,49.3765,1168.52,1185.96,21.4767
393.462,6.04958,49.3901,1169.4,1186,21.5247
394.787,6.04601,49.3901,1170.73,1186.07,21.5767
395.671,6.04361,49.3908,1171.61,1186.11,21.6287
396.997,6.04016,49.3901,1172.94,1186.18,21.6808
397.881,6.03775,49.3772,1173.82,1186.22,21.7288
399.207,6.0343,49.3765,1175.14,1186.29,21.7767
400.091,6.0319,49.3901,1176.03,1186.33,21.8247
411.979,6.03457,49.4992,1176.91,1186.38,21.8728
410.653,6.02981,49.3901,1178.23,1186.44,21.9247
409.327,6.02505,49.3908,1179.56,1186.51,21.9767
408.443,6.02197,49.3765,1180.44,1186.55,22.0287
407.118,6.01721,49.3908,1181.76,1186.62,22.0807
406.725,6.01413,49.3765,1182.65,1186.66,22.1327
408.051,6.00937,49.3765,1183.97,1186.73,22.1807
