s, d
4008.25,-9.76387
4015.92,-9.75672
4024.65,-9.76135
4032.85,-9.7624
4041.27,-9.75745
4049.44,-9.75799
4057.31,-9.75909
4065.27,-9.76308
4073.71,-9.7634
4082.22,-9.76521
4089.91,-9.75861
4098.04,-9.76025
4105.32,-9.7566
4113.47,-9.76016
4121.62,-9.75966
4129.78,-9.76332
4137.5,-9.76519
4145.22,-9.76044
4153.36,-9.75833
4162.36,-9.76273
4171.35,-9.7609
4179.9,-9.75832
4188.45,-9.75943
4195.71,-9.76328
4202.95,-9.75616
4210.63,-9.75976
4218.29,-9.76402
4226.8,-9.75685
4234.02,-9.75971
4242.09,-9.76595
4249.73,-9.7624
4259.05,-9.76361
4270.05,-9.75761
4279.37,-9.75924
4289.51,-9.75803
4299.23,-9.76599
4309.36,-9.76284
4319.06,-9.76282
4328.33,-9.76324
4338.86,-9.76126
4349.81,-9.76014
4360.76,-9.76297
4371.7,-9.7609
4382.21,-9.75676
4392.72,-9.75997
4402.81,-9.7566
4412.9,-9.76171
4422.56,-9.75768
4431.81,-9.75838
4441.05,-9.76291
4450.71,-9.76085
4460.79,-9.75753
4470.45,-9.7582
4480.53,-9.75697
4490.19,-9.76252
4499.85,-9.75883
4509.09,-9.76416
4518.33,-9.7584
4527.57,-9.75863
4536.81,-9.76407
4547.31,-9.75722
4555.71,-9.75819
4564.11,-9.76212
4575.45,-9.76086
4582.17,-9.76043
4588.47,-9.75856
4595.61,-9.76277
4602.75,-9.76116
4611.99,-9.76307
4621.23,-9.75681
4630.47,-9.75871
4640.13,-9.7601
4648.95,-9.75782
4657.77,-9.75799
4666.59,-9.75624
4675.41,-9.75838
4683.81,-9.7655
4692.21,-9.7563
4701.03,-9.7599
4709.43,-9.75816
4718.25,-9.76561
4726.23,-9.7587
4734.21,-9.76172
4741.77,-9.75794
4748.91,-9.7628
4756.47,-9.76203
4763.19,-9.75808
4769.91,-9.7582
4776.63,-9.76304
4783.35,-9.75678
4789.65,-9.76485
4795.95,-9.75986
4802.25,-9.76228
4808.55,-9.76288
4814.85,-9.76293
4821.15,-9.76196
4827.45,-9.75926
4833.75,-9.76547
4840.05,-9.76391
4845.93,-9.75951
4852.23,-9.76006
4858.95,-9.76084
4865.25,-9.75973
4871.55,-9.75755
4878.27,-9.76241
4884.57,-9.76563
4891.29,-9.76455
4898.01,-9.76291
4904.31,-9.76605
4911.03,-9.7641
4917.75,-9.76316
4924.47,-9.76111
4930.35,-9.76098
4935.81,-9.75769
4942.53,-9.76323
4948.41,-9.76408
4954.71,-9.76132
4960.59,-9.76413
4966.9,-9.75757
4973.19,-9.75874
4979.07,-9.75991
4985.79,-9.76081
4991.67,-9.76401
4997.55,-9.75911
5003.85,-9.76276
5010.99,-9.76081
5018.97,-9.76181
